Code;ForecastDate;ForecastType;ForecastStart;ForecastEnd;PrecipitationProbability;WeatherConditions;PrecipitationType;ExpectedPrecipitationAmount;MinimumTemperature;MaximumTemperature;WindDirection;WindSpeed;PrecipitationAmountDay;Notes;global_id
598251;29.11.2019 05:41;трехчасовой прогноз;29.11.2019 09:00;29.11.2019 12:00;;;дождь;;0;2;;;;Днем местами небольшие осадки 0-0,5 мм. Температура 0…+2 градуса. Ветер южный 6-11 м/сек. Ночью осадки 5-10 мм. Температура -1…+1 градус. Ветер южный 6-11 м/сек.;1021783961
598460;30.11.2019 06:07;трехчасовой прогноз;30.11.2019 09:00;30.11.2019 12:00;;;снег;;1;3;;;;Днем временами осадки (дождь, снег) 1-3 мм, прирост снега 0-1 см. Вечером местами гололедица. Температура 1…3 градус. Ветер юго-восточный, с переходом на западный  6-11 м/сек. Ночью местами небольшой снег 0-1 см, сильная гололедица. Температура -5…-3 градуса. Ветер северо-западный 7-12 м/сек.;1021810077
598656;01.12.2019 06:02;трехчасовой прогноз;01.12.2019 09:00;01.12.2019 12:00;;;без осадков;;-3;-1;;;;Днем местами небольшой снег 0-0,5 мм. Сильная гололедица. Температура -3…-1 градус. Ветер северо-западный 7-12 м/сек. Ночью без существенных осадков 0-0,2 мм. Температура -5…-3 градуса. Ветер западный 5-10 м/сек.;1022044547
598841;02.12.2019 05:40;трехчасовой прогноз;02.12.2019 09:00;02.12.2019 12:00;;;снег;;-3;-1;;;;Днем местами небольшой снег 0-0,5 мм. Температура -3…-1 градус. Ветер западный 5-10 м/сек. Ночью местами небольшой снег 0-1 мм. Температура -5…-3 градуса. Ветер западный 5-10 м/сек.;1022053778
599037;03.12.2019 05:25;трехчасовой прогноз;03.12.2019 09:00;03.12.2019 12:00;;;снег;;-3;-1;;;;Днем местами небольшой снег 0-0,5 мм. Температура -3…-1 градус. Ветер западный 5-10 м/сек. Ночью местами небольшой снег 0-0,5 мм. Температура -5…-3 градуса. Ветер западный 5-10 м/сек.;1022067163
599233;04.12.2019 05:50;трехчасовой прогноз;04.12.2019 09:00;04.12.2019 12:00;;;снег;;-2;0;;;;Днем местами небольшой снег 0-2 мм, прирост снега 0-2 см. Температура -2…0 градусов. Ветер западный 5-10 м/сек. Ночью местами небольшой снег 0-1 мм, условия для гололедицы. Температура -3…-1 градус. Ветер западный 5-10 м/сек.;1022154547
599430;05.12.2019 05:47;трехчасовой прогноз;05.12.2019 09:00;05.12.2019 12:00;;;без осадков;;1;3;;;;Днем местами небольшие осадки (снег, дождь) 0-0,5 мм. Температура 1…3 градуса. Ветер западный 7-12 м/сек. Ночью местами небольшие осадки 0-0,5 мм. Температура -1…+1 градус. Ветер западный 5-10 м/сек, местами порывы 12-14 м/сек.;1022162616
599627;06.12.2019 05:45;трехчасовой прогноз;06.12.2019 09:00;06.12.2019 12:00;;;дождь;;1;3;;;;Днем местами небольшие осадки 0-0,5 мм. Температура 1…3 градуса. Ветер юго-западный 5-10 м/сек, местами порывы 12-14 м/сек. Ночью местами небольшие осадки 0-1 мм. Температура -1…+1 градус. Ветер юго-западный 7-12 м/сек.;1022252864
599824;07.12.2019 05:29;трехчасовой прогноз;07.12.2019 09:00;07.12.2019 12:00;;;дождь;;1;3;;;;Днем местами небольшие осадки 0-1 мм. Температура 1…3 градуса. Ветер юго-западный 7-12 м/сек. Ночью без существенных осадков 0-0,2 мм. Температура -1…+1 градус, местами до -3 градусов. Ветер юго-западный 5-10 м/сек, местами порывы 12-14 м/сек.;1022264213
600032;08.12.2019 06:12;трехчасовой прогноз;08.12.2019 09:00;08.12.2019 12:00;;;без осадков;;1;3;;;;Днем местами небольшие осадки 0-1 мм. Температура 1…3 градуса. Ветер юго-западный 5-10 м/сек, местами порывы 12-14 м/сек. Ночью местами небольшие осадки 0-1 мм. Местами гололедица. Температура -1…+1 градус. Ветер юго-западный 5-10 м/сек, местами порывы 12-14 м/сек.;1022269777
600216;09.12.2019 05:47;трехчасовой прогноз;09.12.2019 09:00;09.12.2019 12:00;;;без осадков;;2;4;;;;Днем местами небольшие осадки 0-2 мм. Температура 2…4 градуса. Ветер юго-западный 5-10 м/сек, местами порывы 12-14 м/сек. Ночью местами небольшие осадки 0-1 мм. Температура 0…+2 градуса. Ветер южный 4-9 м/сек.;1022395859
600413;10.12.2019 05:34;трехчасовой прогноз;10.12.2019 09:00;10.12.2019 12:00;;;дождь;;1;3;;;;Днем временами дождь 1-3 мм. Температура 1…3 градуса. Ветер южный 4-9 м/сек. Ночью местами небольшие осадки 0-1 мм. Температура 0…+2 градуса. Ветер юго-западный 4-9 м/сек.;1022411112
600610;11.12.2019 05:51;трехчасовой прогноз;11.12.2019 09:00;11.12.2019 12:00;;;без осадков;;-1;4;;;;Днем местами небольшие осадки 0-0,5 мм. Местами условия для гололедицы. Температура 2…4 градуса, понижение к концу дня до -1 градуса. Ветер северный 4-9 м/сек. Ночью без существенных осадков 0-0,2 мм. Температура -3…-1 градус. Ветер юго-восточный 4-9 м/сек.;1022421796
600796;12.12.2019 05:28;трехчасовой прогноз;12.12.2019 09:00;12.12.2019 12:00;;;без осадков;;0;2;;;;Днем без существенных осадков 0-0,2 мм. Температура 0…+2 градуса. Ветер юго-восточный 4-9 м/сек. Ночью без существенных осадков 0-0,2 мм. Температура -2…0 градусов. Ветер южный 2-7 м/сек.;1022994543
600993;13.12.2019 05:36;трехчасовой прогноз;13.12.2019 09:00;13.12.2019 12:00;;;без осадков;;0;2;;;;Днем без существенных осадков 0-0,2 мм. Температура 0…+2 градуса. Ветер южный 5-10 м/сек. Ночью без существенных осадков 0-0,2 мм. Температура -2…0 градусов. Ветер юго-восточный 5-10 м/сек.;1023027529
601189;14.12.2019 05:44;трехчасовой прогноз;14.12.2019 09:00;14.12.2019 12:00;;;снег;;-1;1;;;;Днем без существенных осадков 0-0,2 мм. Температура -1…+1 градус. Ветер юго-восточный 5-10 м/сек. Ночью местами небольшой снег 0-1 мм. Температура -2…0 градусов. Ветер юго-восточный 5-10 м/сек.;1023033556
601386;15.12.2019 05:46;трехчасовой прогноз;15.12.2019 09:00;15.12.2019 12:00;;;снег;;0;2;;;;Днем временами осадки 2-4 мм. Температура 0…+2 градуса. Ветер юго-восточный 5-10 м/сек. Ночью временами осадки 2-4 мм. Температура 0…+2 градуса. Ветер юго-западный 5-10 м/сек.;1023497370
